Combination_ID,Combination,Final_AvgRank,Final_Rank,Support_Algorithms,Algorithm_ID,Algorithm,Algorithm_Rank,Supported_Algorithm_Count,Within_Algorithm_Rank,N_Combinations,NormRank,Avg_Rank,NMI,ARI,Accuracy,MacroF1,Clinical_ECP_FDR,log_rank_p,log_rank_score,Avg_Purity,Avg_Gini_Impurity,Avg_Entropy,Silhouette,CH,DB
CNV_MET_MIR_PRO,CNV+MET+MIR+PRO,0.21492857142857144,1,5,LRA,LRA,1,5,4,57,0.07142857142857142,16.125,0.262251585691664,0.17119841861782,0.433925049309665,0.355517183716577,4,0.00105,2.978810700930062,0.593688362919132,0.53274977060845,1.36728741638287,0.0084791346768423,17.3083015861632,3.87864580732089
CNV_MET_MIR_PRO,CNV+MET+MIR+PRO,0.21492857142857144,1,5,PINSPlus,PINSPlus,2,5,6,26,0.2,10.625,0.18284987823963,0.171903088066034,0.518737672583826,0.420171568627451,0,0.15298,0.8153653434137264,0.579881656804734,0.578593872803979,1.56866602989764,-0.139825919390195,7.33781104111697,6.14771966988738
CNV_MET_MIR_PRO,CNV+MET+MIR+PRO,0.21492857142857144,1,5,iClusterBayes,iClusterBayes,3,5,13,57,0.22321428571428573,23.25,0.209386168097995,0.138233410598099,0.424063116370809,0.376798056998023,4,0.00571,2.243363891754152,0.605522682445759,0.544580467294306,1.46953663147125,-8.6836893255382e-4,16.3485781326112,3.84946206881638
CNV_MET_MIR_PRO,CNV+MET+MIR+PRO,0.21492857142857144,1,5,BCC,BCC,4,5,8,26,0.28,10,0.163157968643502,0.142307150544359,0.414201183431953,0.363176168320952,2,0.30386,0.5173264664966702,0.603550295857988,0.567564706214947,1.55434837085501,-0.0643303023209749,8.34850094080396,6.6097711611422
CNV_MET_MIR_PRO,CNV+MET+MIR+PRO,0.21492857142857144,1,5,SNF,SNF,5,5,8,26,0.3,10.375,0.340900561054344,0.285550072806593,0.546351084812623,0.480834782261848,4,0.54923,0.26024574878666523,0.664694280078895,0.440637501304078,1.15192531696924,-0.0498987193034457,14.2073973847627,5.08019626504401
CNV_RNA_SNP,CNV+RNA+SNP,0.24107142857142855,2,2,iClusterBayes,iClusterBayes,1,2,4,57,0.05357142857142857,17.375,0.247670576428825,0.15208103178645,0.431952662721893,0.393761431725008,4,0.06248,1.204258979130756,0.625246548323471,0.515139116207538,1.38612379056164,0.0019279637185224,17.4657509087234,3.89956010257017
CNV_RNA_SNP,CNV+RNA+SNP,0.24107142857142855,2,2,LRA,LRA,2,2,23,57,0.42857142857142855,23.3125,0.304519616127985,0.226451017719043,0.520710059171598,0.45889033808749,0,0.5624,0.24995468798823245,0.55818540433925,0.511821961821962,1.27944656593743,0.0128502156661855,14.5557521615596,4.83966345188117
CNV_MET_MIR_PRO_RNA,CNV+MET+MIR+PRO+RNA,0.24921428571428572,3,5,BCC,BCC,1,5,1,26,0,4.625,0.279109600137686,0.23713981576096901,0.526627218934911,0.429979681973685,2,0.36039,0.4432272682064926,0.641025641025641,0.504810503871946,1.33768061271243,-0.019633479361001,10.2092500873166,6.00012119382768
CNV_MET_MIR_PRO_RNA,CNV+MET+MIR+PRO+RNA,0.24921428571428572,3,5,PINSPlus,PINSPlus,2,5,3,26,0.08,9,0.201185124885859,0.163832217873551,0.506903353057199,0.372802147961518,4,0.27274,0.5642511638356242,0.585798816568047,0.57174239224949,1.54022769714182,-0.0859299975189552,7.01598703873052,5.9350358395766
CNV_MET_MIR_PRO_RNA,CNV+MET+MIR+PRO+RNA,0.24921428571428572,3,5,SNF,SNF,3,5,8,26,0.3,10.375,0.34655166097012,0.294257922602675,0.562130177514793,0.501408995184371,3,0.67632,0.16984776951505634,0.674556213017751,0.433293812550223,1.14075566163006,-0.0188261787833517,14.520835983032,4.47615037749941
