Combination_ID,Combination,Omics_Count,Omics,Has_CNV,Has_MET,Has_MIR,Has_PRO,Has_RNA,Has_SNP,Final_AvgRank,Final_Rank,SD_NormRank,Support_Algorithms,Algorithms,Bootstrap_Primary_FR,Bootstrap_Primary_Rank,Bootstrap_FR_mean,Bootstrap_FR_median,Bootstrap_FR_CI_low,Bootstrap_FR_CI_high,Bootstrap_rank_mean,Bootstrap_rank_median,Bootstrap_rank_CI_low,Bootstrap_rank_CI_high,Rank1_probability,Top5_probability,Top10_probability,Top20_probability,Mean_abs_rank_shift,Median_abs_rank_shift,Bootstrap_N
CNV_MET_MIR_PRO,CNV+MET+MIR+PRO,4,CNV;MET;MIR;PRO,1,1,1,1,0,0,0.21492857142857144,1,0.08993776192683563,5,"BCC, iClusterBayes, LRA, PINSPlus, SNF",0.214928571428571,1,0.333695285714286,0.329642857142857,0.177669642857143,0.506648214285714,11.457,9,1,32.525,0.046,0.294,0.542,0.856,10.457,8,500
CNV_RNA_SNP,CNV+RNA+SNP,3,CNV;RNA;SNP,1,0,0,0,1,1,0.24107142857142855,2,0.2651650429449553,2,"iClusterBayes, LRA",0.241071428571429,2,0.301035714285714,0.301339285714286,0.0714285714285714,0.554017857142857,10.353,7,1,39.525,0.2,0.442,0.634,0.842,8.747,5,500
CNV_MET_MIR_PRO_RNA,CNV+MET+MIR+PRO+RNA,5,CNV;MET;MIR;PRO;RNA,1,1,1,1,1,0,0.24921428571428572,3,0.20607613265242433,5,"BCC, iClusterBayes, LRA, PINSPlus, SNF",0.249214285714286,3,0.316393,0.316285714285714,0.1791,0.466983928571429,9.591,8,1,27,0.052,0.322,0.636,0.924,6.911,5,500
MET_MIR_RNA_SNP,MET+MIR+RNA+SNP,4,MET;MIR;RNA;SNP,0,1,1,0,1,1,0.26785714285714285,4,0.37880720420707903,2,"iClusterBayes, LRA",0.267857142857143,4,0.322946428571429,0.321428571428571,0.135825892857143,0.529352678571428,11.045,9,1,35.525,0.072,0.348,0.604,0.842,7.877,5,500
CNV_MET_MIR_RNA,CNV+MET+MIR+RNA,4,CNV;MET;MIR;RNA,1,1,1,0,1,0,0.29185714285714287,5,0.3694768778493535,5,"BCC, iClusterBayes, LRA, PINSPlus, SNF",0.291857142857143,5,0.322443428571429,0.315035714285714,0.2017125,0.476758928571429,9.987,8,1,28.525,0.028,0.304,0.632,0.908,6.021,4,500
MET_MIR_RNA,MET+MIR+RNA,3,MET;MIR;RNA,0,1,1,0,1,0,0.30228571428571427,6,0.12448096321960894,5,"BCC, iClusterBayes, LRA, PINSPlus, SNF",0.302285714285714,6,0.323655,0.32225,0.173855357142857,0.506025,10.816,8,1,32.525,0.034,0.314,0.602,0.866,6.604,4,500
CNV_MET_SNP,CNV+MET+SNP,3,CNV;MET;SNP,1,1,0,0,0,1,0.3080357142857143,7,0.056821080631061845,2,"iClusterBayes, LRA",0.308035714285714,7,0.485330357142857,0.495535714285714,0.236607142857143,0.734486607142857,28.024,30,3,51,0.004,0.076,0.168,0.342,21.218,22.5,500
MET_MIR_SNP,MET+MIR+SNP,3,MET;MIR;SNP,0,1,1,0,0,1,0.3080357142857143,7,0.3851206576105304,2,"iClusterBayes, LRA",0.308035714285714,7,0.501,0.486607142857143,0.332477678571429,0.747879464285714,29.575,29.5,9,50,0,0.008,0.04,0.218,22.149,22,500
MET_MIR_PRO_RNA,MET+MIR+PRO+RNA,4,MET;MIR;PRO;RNA,0,1,1,1,1,0,0.31142857142857144,9,0.15964964830553693,5,"BCC, iClusterBayes, LRA, PINSPlus, SNF",0.311428571428571,9,0.33015485714285697,0.325321428571429,0.161528571428571,0.517871428571429,11.425,9,1,34.525,0.068,0.302,0.586,0.834,6.763,5,500
CNV_MET_MIR,CNV+MET+MIR,3,CNV;MET;MIR,1,1,1,0,0,0,0.3196428571428572,10,0.3019908432183915,5,"BCC, iClusterBayes, LRA, PINSPlus, SNF",0.319642857142857,10,0.435337142857143,0.433821428571429,0.277455357142857,0.626992857142857,22.159,22,4,44,0.004,0.052,0.164,0.458,13.169,12,500
MET_MIR_PRO,MET+MIR+PRO,3,MET;MIR;PRO,0,1,1,1,0,0,0.3215,11,0.25958100068835416,5,"BCC, iClusterBayes, LRA, PINSPlus, SNF",0.3215,11,0.370985285714286,0.369357142857143,0.236171428571429,0.518294642857143,14.962,13,3,35,0.006,0.13,0.342,0.77,7.1,6,500
CNV_MET_MIR_RNA_SNP,CNV+MET+MIR+RNA+SNP,5,CNV;MET;MIR;RNA;SNP,1,1,1,0,1,1,0.35714285714285715,12,0.1767766952966369,2,"iClusterBayes, LRA",0.357142857142857,12,0.410125,0.419642857142857,0.176227678571429,0.6296875,20.287,20,1,44.525,0.044,0.158,0.284,0.53,12.261,10,500
CNV_MET_MIR_SNP,CNV+MET+MIR+SNP,4,CNV;MET;MIR;SNP,1,1,1,0,0,1,0.36160714285714285,13,0.49876281887265406,2,"iClusterBayes, LRA",0.361607142857143,13,0.520982142857143,0.522321428571429,0.359263392857143,0.71875,32.372,33.25,12,49,0,0,0.016,0.134,19.53,20.25,500
MET_PRO_RNA,MET+PRO+RNA,3,MET;PRO;RNA,0,1,0,1,1,0,0.3657142857142857,14,0.33634287655938977,5,"BCC, iClusterBayes, LRA, PINSPlus, SNF",0.365714285714286,14,0.467232285714286,0.460642857142857,0.326860714285714,0.62485,26.272,26,9,44,0,0.002,0.036,0.288,12.82,12,500
MET_MIR_PRO_SNP,MET+MIR+PRO+SNP,4,MET;MIR;PRO;SNP,0,1,1,1,0,1,0.37053571428571425,15,0.4230013780312382,2,"iClusterBayes, LRA",0.370535714285714,15,0.478357142857143,0.46875,0.325892857142857,0.730245535714285,27.106,26.5,8.7375,49,0,0.01,0.048,0.31,13.154,11.5,500
